,categories,categories_probs,length_cats
0,"['Harbor and Waterways', 'British Colonialism', 'Transportation', 'Trade and Commerce', 'Geography and Topography']","[0.13306877541416887, 0.13306860093450754, 0.13306853743982291, 0.1330680140503719, 0.1330679188571333]",5
1,"['Harbor and Waterways', 'Geography and Topography', 'Transportation', 'British Colonialism', 'Architecture and Building']","[0.14292729226385525, 0.14292724114284192, 0.1429236804144735, 0.14292216389026832, 0.1429141234813886]",5
2,"['Harbor and Waterways', 'Daily Life and Occupations', 'River Dwellers (Tankia)', 'Trade and Commerce', 'Social Classes and Customs']","[0.1114466961304801, 0.11144668284337765, 0.11144647026267473, 0.11144589900946003, 0.11144480954949368]",5
3,"['Harbor and Waterways', 'Daily Life and Occupations', 'Social Classes and Customs', 'Trade and Commerce', 'Architecture and Building']","[0.14110143282833892, 0.14109993592288197, 0.14109801850764347, 0.1410486559269849, 0.14093893908705046]",5
4,"['Architecture and Building', 'Geography and Topography']","[0.49999085101228186, 0.4999624808437444]",2
5,"['Geography and Topography', 'Agriculture and Farming', 'Daily Life and Occupations', 'Architecture and Building']","[0.24999820455303587, 0.24999817474729136, 0.24999757874114845, 0.2499926022418958]",4
6,"['Trade and Commerce', 'Daily Life and Occupations', 'Architecture and Building', 'Social Classes and Customs', 'British Colonialism']","[0.16670129805129535, 0.1667012781765274, 0.16670105959733258, 0.16668963333325923, 0.1666317170907492]",5
7,"['Architecture and Building', 'Religion (Buddhism and Ancestor Worship)', 'Family and Social Structures', 'Social Classes and Customs']","[0.2529373994131979, 0.2529351380414812, 0.2529159334883485, 0.2409417210155986]",4
8,"['Religion (Buddhism and Ancestor Worship)', 'Architecture and Building']","[0.499915015099793, 0.49991304863389435]",2
9,"['Architecture and Building', 'Education', 'Social Classes and Customs', 'British Colonialism']","[0.25075967393273657, 0.25075871731303545, 0.2507515427334129, 0.2475449571910901]",4
10,"['Harbor and Waterways', 'Daily Life and Occupations', 'Trade and Commerce', 'Architecture and Building', 'British Colonialism']","[0.1250091351797465, 0.12500903086549536, 0.12500901594724884, 0.12500818132294947, 0.12500645299654098]",5
11,"['Photography and Imaging', 'British Colonialism', 'Social Classes and Customs', 'Fashion and Dress', 'Family and Social Structures']","[0.14513386779277962, 0.14513379859450495, 0.14513094405865115, 0.14513044211371678, 0.14512980178421514]",5
12,"['British Colonialism', 'Social Classes and Customs', 'Photography and Imaging', 'War and Conflict', 'Architecture and Building']","[0.2353097995647105, 0.23529465158156757, 0.23479645394101648, 0.23408153228169368, 0.0604296875481542]",5
13,"['Social Classes and Customs', 'British Colonialism']","[0.4934044624020896, 0.4932546473450952]",2
14,"['Missionary Work', 'Photography and Imaging', 'Daily Life and Occupations', 'Social Classes and Customs', 'Fashion and Dress']","[0.21702391958701522, 0.2170237384321634, 0.21699606234898652, 0.2169699385240728, 0.13187685248816175]",5
15,"['Trade and Commerce', 'Transportation', 'Daily Life and Occupations', 'Harbor and Waterways', 'British Colonialism']","[0.12500645632648077, 0.12500644142273173, 0.12500641161523898, 0.125006396723163, 0.12500568147787763]",5
16,"['Trade and Commerce', 'Harbor and Waterways', 'Architecture and Building', 'Daily Life and Occupations', 'Transportation']","[0.14286699560410007, 0.14286696153780004, 0.1428669445140207, 0.14286680827361017, 0.14286675717260602]",5
17,"['Trade and Commerce', 'Daily Life and Occupations', 'Social Classes and Customs', 'British Colonialism', 'Fashion and Dress']","[0.14287428721438897, 0.1428742531463503, 0.14287396361132823, 0.1428719196817579, 0.14285846629236992]",5
18,"['Daily Life and Occupations', 'Architecture and Building', 'Trade and Commerce', 'Social Classes and Customs', 'Transportation']","[0.14287693614276747, 0.142876544426059, 0.142876118658379, 0.14287601645401676, 0.14284996540521117]",5
19,"['Daily Life and Occupations', 'Social Classes and Customs', 'Fashion and Dress', 'Architecture and Building', 'Food and Diet']","[0.16669656820785617, 0.16669652845945046, 0.16669374638387005, 0.16669281277553677, 0.16667632023630632]",5
20,"['Prisoners and Punishment', 'Social Classes and Customs', 'Photography and Imaging']","[0.3373107744408325, 0.33727668040170966, 0.32472023690486285]",3
21,"['Social Classes and Customs', 'Photography and Imaging', 'Family and Social Structures', 'Fashion and Dress', 'British Colonialism']","[0.18027457025597118, 0.1802740545186293, 0.18027147559950982, 0.18026434122891835, 0.1802440843576782]",5
22,"['Daily Life and Occupations', 'Harbor and Waterways', 'Trade and Commerce', 'Transportation', 'Social Classes and Customs']","[0.10175735103295801, 0.10175735103295801, 0.10175735103295801, 0.10175731464392977, 0.1017544519290562]",5
23,"['Daily Life and Occupations', 'Harbor and Waterways', 'Transportation', 'Architecture and Building', 'Trade and Commerce']","[0.12499914372359519, 0.12499912882544306, 0.12499912882544306, 0.1249990245212755, 0.12499900961447613]",5
24,"['Daily Life and Occupations', 'Trade and Commerce', 'Photography and Imaging', 'Social Classes and Customs']","[0.26016940667227806, 0.2601693136341654, 0.2601012524765197, 0.2195520874162405]",4
25,"['Architecture and Building', 'Photography and Imaging', 'Trade and Commerce', 'Religion (Buddhism and Ancestor Worship)']","[0.2498011948228706, 0.24971862087256694, 0.24899603919982152, 0.2485756762185346]",4
26,"['Religion (Buddhism and Ancestor Worship)', 'Architecture and Building']","[0.5000070635353157, 0.49999090991768913]",2
27,"['Daily Life and Occupations', 'Missionary Work', 'Education', 'Social Classes and Customs', 'Photography and Imaging']","[0.1668547428202458, 0.16685448422966695, 0.1668540267994277, 0.1668528334834477, 0.16685235593482303]",5
28,"['Education', 'Missionary Work', 'Photography and Imaging', 'British Colonialism']","[0.27656353214179563, 0.2765615869975227, 0.27656000468593755, 0.1659936084160108]",4
29,"['Social Classes and Customs', 'Daily Life and Occupations', 'Photography and Imaging', 'Family and Social Structures', 'Fashion and Dress']","[0.1999534667401204, 0.19995341907479597, 0.1999532998656471, 0.19994822306893703, 0.19994772228230395]",5
30,"['Prisoners and Punishment', 'Social Classes and Customs', 'Transportation', 'Photography and Imaging']","[0.25001174871322407, 0.2500002456066861, 0.2500002456066861, 0.24998612086245808]",4
31,"['Daily Life and Occupations', 'Harbor and Waterways', 'Social Classes and Customs', 'Photography and Imaging', 'Food and Diet']","[0.2000691613389608, 0.20006913748594823, 0.2000681596940227, 0.20004443173764216, 0.19971344051910417]",5
32,"['Harbor and Waterways', 'Daily Life and Occupations', 'Transportation', 'Trade and Commerce', 'Social Classes and Customs']","[0.14294820168480618, 0.14294818464197345, 0.1429479290160428, 0.14294779273282018, 0.14293916958862835]",5
33,"['Architecture and Building', 'Geography and Topography', 'Religion (Buddhism and Ancestor Worship)']","[0.33340304293379885, 0.3333432056603112, 0.33325371165630074]",3
34,"['Trade and Commerce', 'Tea Production and Trade', 'Transportation', 'Daily Life and Occupations', 'Social Classes and Customs']","[0.12281377583532742, 0.12281376119299815, 0.12281376119299815, 0.12281374655067064, 0.12281333660742538]",5
35,"['Daily Life and Occupations', 'Social Classes and Customs', 'Architecture and Building', 'British Colonialism', 'Folk Festivals and Celebrations']","[0.14296578602892668, 0.14296578602892668, 0.14296462712532412, 0.14296053709596113, 0.14295816835045846]",5
36,"['Daily Life and Occupations', 'Harbor and Waterways', 'Transportation', 'Social Classes and Customs', 'Trade and Commerce']","[0.14256967917150215, 0.14256967917150215, 0.1425695431899284, 0.14256825162675676, 0.1425596860372643]",5
37,"['Agriculture and Farming', 'Daily Life and Occupations', 'Geography and Topography', 'Photography and Imaging', 'British Colonialism']","[0.1428478690635735, 0.14284783500183418, 0.14284778392257338, 0.14282410377014046, 0.14278535121182237]",5
38,"['Agriculture and Farming', 'Geography and Topography', 'Daily Life and Occupations', 'Tea Production and Trade', 'Architecture and Building']","[0.20001358193750085, 0.20001351039835089, 0.2000133435214506, 0.19997556338706093, 0.1999628772629175]",5
39,"['Photography and Imaging', 'Family and Social Structures', 'Social Classes and Customs', 'Fashion and Dress', 'Daily Life and Occupations']","[0.16939732963398582, 0.16939726904539554, 0.16939726904539554, 0.16939720847605627, 0.16939460332448117]",5
40,"['Architecture and Building', 'Cemeteries and Burial Practices', 'Religion (Buddhism and Ancestor Worship)', 'Geography and Topography']","[0.2500147548787023, 0.2500140100215381, 0.2499411375668552, 0.24993276736481146]",4
41,"['Agriculture and Farming', 'Daily Life and Occupations', 'Food and Diet', 'Trade and Commerce']","[0.2631211698988822, 0.2631208248883537, 0.2548014246081847, 0.20868594852220235]",4
42,"['Harbor and Waterways', 'Geography and Topography', 'British Colonialism', 'Trade and Commerce', 'Architecture and Building']","[0.14206931592871422, 0.14206929899066562, 0.1420691635128702, 0.14206899415917745, 0.14206662324004643]",5
43,"['War and Conflict', 'Harbor and Waterways', 'Transportation', 'Missionary Work', 'Photography and Imaging']","[0.15560475105785315, 0.15560254353572195, 0.15558705648994053, 0.15544058518212694, 0.15529085720376679]",5
44,"['Military and Naval Defenses', 'Harbor and Waterways', 'Architecture and Building', 'War and Conflict', 'Geography and Topography']","[0.1250513737191607, 0.12505135881005644, 0.1250512842809607, 0.1250511948428247, 0.12505043453953776]",5
45,"['Harbor and Waterways', 'Military and Naval Defenses', 'War and Conflict', 'Geography and Topography', 'British Colonialism']","[0.16668162945574636, 0.16668160958332337, 0.16668154996606863, 0.16667948362689083, 0.1666749139250398]",5
46,"['War and Conflict', 'Military and Naval Defenses', 'Harbor and Waterways']","[0.33186517804098187, 0.33186505936403904, 0.33186498024080924]",3
47,"['War and Conflict', 'Harbor and Waterways', 'British Colonialism']","[0.31705926832775067, 0.3170571518229339, 0.3170297155699709]",3
48,"['War and Conflict', 'Harbor and Waterways', 'Transportation']","[0.33239569645877626, 0.3323838093982285, 0.33196543202609946]",3
49,"['Missionary Work', 'War and Conflict', 'Family and Social Structures', 'Architecture and Building', 'Photography and Imaging']","[0.21961530509963542, 0.21961470296193503, 0.2195162328487243, 0.21944417507814495, 0.12177118549641325]",5
50,"['War and Conflict', 'Daily Life and Occupations', 'Fashion and Dress', 'Social Classes and Customs', 'British Colonialism']","[0.16797626407635602, 0.16797209917555214, 0.16773971881923014, 0.16761003127743362, 0.16738228678634792]",5
51,"['Architecture and Building', 'War and Conflict', 'British Colonialism', 'Geography and Topography']","[0.30415863807809473, 0.30396750277136064, 0.20239592173228996, 0.1893295982055394]",4
52,"['War and Conflict', 'Military and Naval Defenses', 'Architecture and Building', 'British Colonialism', 'Geography and Topography']","[0.20015805264398231, 0.2001580287803718, 0.20014698185367083, 0.20014340304281603, 0.19939255534973643]",5
53,"['War and Conflict', 'British Colonialism', 'Geography and Topography', 'Military and Naval Defenses', 'Harbor and Waterways']","[0.20029408720500333, 0.20029255892572786, 0.20029062504496772, 0.20028503874688228, 0.19867915652737458]",5
54,"['War and Conflict', 'Architecture and Building', 'British Colonialism']","[0.3394943974106639, 0.3394800318568139, 0.32082270189236756]",3
55,"['War and Conflict', 'Military and Naval Defenses', 'British Colonialism', 'Geography and Topography']","[0.29607411600015926, 0.29607270426678745, 0.29607079855911195, 0.11178185176243438]",4
56,"['War and Conflict', 'Photography and Imaging']","[0.500499669397758, 0.499053192715844]",2
57,"['War and Conflict', 'British Colonialism', 'Geography and Topography', 'Architecture and Building']","[0.25198525801877897, 0.2519827649274818, 0.25047226419965685, 0.2454438388692949]",4
58,"['War and Conflict', 'Photography and Imaging']","[0.4996714076688515, 0.4995345035961952]",2
59,"['War and Conflict', 'British Colonialism', 'Architecture and Building', 'Transportation', 'Military and Naval Defenses']","[0.16735386652436354, 0.1673425150338138, 0.16732059997494686, 0.16730235337276, 0.16565216845640557]",5
60,"['War and Conflict', 'Architecture and Building', 'Daily Life and Occupations']","[0.4677404448091968, 0.4674693422015185, 0.055753292011574994]",3
61,"['War and Conflict', 'Architecture and Building']","[0.4990536382092551, 0.4990381095437324]",2
62,"['War and Conflict', 'Prisoners and Punishment', 'Photography and Imaging']","[0.33311588575760415, 0.33311572689621977, 0.3331123120882654]",3
63,"['Transportation', 'Trade and Commerce', 'Daily Life and Occupations', 'Harbor and Waterways', 'Social Classes and Customs']","[0.20035224617302094, 0.20035222228625793, 0.20035207898848292, 0.20035184012130555, 0.1985519531641289]",5
64,"['Family and Social Structures', 'Social Classes and Customs', 'Food and Diet', 'War and Conflict', 'Daily Life and Occupations']","[0.1431074283086821, 0.1431074283086821, 0.14310739418505147, 0.14310725772814387, 0.14310669480137897]",5
65,"['Cemeteries and Burial Practices', 'Religion (Buddhism and Ancestor Worship)', 'Geography and Topography', 'Social Classes and Customs', 'Daily Life and Occupations']","[0.20022092911788342, 0.20021732508715362, 0.2002125998462242, 0.20017614138735948, 0.19888069998016922]",5
66,"['Photography and Imaging', 'Social Classes and Customs', 'Fashion and Dress', 'Architecture and Building']","[0.2447357095109919, 0.24473489262341222, 0.24473460096778524, 0.24462367199130633]",4
67,"['Transportation', 'Harbor and Waterways', 'Trade and Commerce', 'War and Conflict', 'Daily Life and Occupations']","[0.17037037952151157, 0.17037027797638807, 0.17036958746519174, 0.170362215788741, 0.17019991868021372]",5
68,"['Military and Naval Defenses', 'Architecture and Building', 'Geography and Topography', 'War and Conflict']","[0.2500504129564179, 0.2500453447248601, 0.24999996259910687, 0.2497785164142204]",4
69,"['Architecture and Building', 'War and Conflict', 'Daily Life and Occupations', 'Transportation', 'Trade and Commerce']","[0.20347565496411052, 0.20347538820987507, 0.20346930023737378, 0.20292721912032616, 0.18540776432239028]",5
70,"['War and Conflict', 'British Colonialism', 'Architecture and Building', 'Military and Naval Defenses']","[0.24088141695663373, 0.24087756883537076, 0.24082400153778047, 0.2398049876138974]",4
71,"['Trade and Commerce', 'Transportation', 'Daily Life and Occupations', 'Social Classes and Customs', 'Architecture and Building']","[0.22914945172576182, 0.22914945172576182, 0.2291493151468011, 0.2291449447366848, 0.08317697159418723]",5
72,"['War and Conflict', 'Architecture and Building']","[0.49997600232326017, 0.499225340167905]",2
73,"['Architecture and Building', 'Geography and Topography']","[0.49698204645724, 0.4967654884103266]",2
74,"['War and Conflict', 'British Colonialism', 'Architecture and Building']","[0.3334246126341814, 0.33337708552043327, 0.33319524111443255]",3
75,"['Daily Life and Occupations', 'Trade and Commerce', 'Food and Diet', 'Social Classes and Customs', 'Transportation']","[0.19999214822607977, 0.19999214822607977, 0.1999902172054895, 0.19999002654461767, 0.1999883100334576]",5
76,"['Architecture and Building', 'Daily Life and Occupations', 'Social Classes and Customs', 'Trade and Commerce', 'British Colonialism']","[0.1304597877303512, 0.13045949220538688, 0.13045215171094274, 0.1304504414860728, 0.1304382855410608]",5
77,"['Architecture and Building', 'Religion (Buddhism and Ancestor Worship)']","[0.4998738238400019, 0.4998696524105899]",2
78,['Architecture and Building'],[0.9871370096513682],1
79,"['War and Conflict', 'Photography and Imaging', 'Military and Naval Defenses']","[0.32324295071877707, 0.3232390205906443, 0.30546276328345906]",3
80,"['Architecture and Building', 'Social Classes and Customs']","[0.49959371315354895, 0.4979065490164292]",2
81,['Architecture and Building'],[0.9796855073946036],1
82,"['Architecture and Building', 'Photography and Imaging', 'Social Classes and Customs', 'Religion (Buddhism and Ancestor Worship)']","[0.2500193788643468, 0.2499899342980493, 0.24994658910414339, 0.2498955101189326]",4
83,"['Architecture and Building', 'Social Classes and Customs']","[0.49976180040442375, 0.4997494690001478]",2
84,"['Transportation', 'Daily Life and Occupations', 'Social Classes and Customs', 'Architecture and Building', 'Geography and Topography']","[0.16255223700291152, 0.16255202386068046, 0.1625515587551571, 0.16255026062224098, 0.16254349821387382]",5
85,"['Architecture and Building', 'Daily Life and Occupations', 'Social Classes and Customs', 'Fashion and Dress', 'Family and Social Structures']","[0.20034521218870316, 0.20034509278185209, 0.20033647185643497, 0.19990778716583724, 0.1990652449197546]",5
86,"['Religion (Buddhism and Ancestor Worship)', 'Architecture and Building', 'Daily Life and Occupations', 'Social Classes and Customs', 'Photography and Imaging']","[0.20001350670999613, 0.20001322057410537, 0.2000065921553725, 0.19999638924261698, 0.19997021977875468]",5
87,"['Religion (Buddhism and Ancestor Worship)', 'Daily Life and Occupations', 'Social Classes and Customs', 'Photography and Imaging', 'Architecture and Building']","[0.16420640069521775, 0.1642061070544548, 0.16420606793054668, 0.16420555904363088, 0.1641946367161071]",5
88,"['Architecture and Building', 'Daily Life and Occupations']","[0.49663125251705026, 0.4959304301431636]",2
89,['Education'],[0.9377075480796421],1
90,"['Fashion and Dress', 'Social Classes and Customs', 'Photography and Imaging', 'Family and Social Structures', 'Architecture and Building']","[0.20019122533251668, 0.20019117761051486, 0.20019024694391485, 0.20018936396354214, 0.19902256476504296]",5
91,"['Fashion and Dress', 'Social Classes and Customs', 'Photography and Imaging', 'Family and Social Structures', 'British Colonialism']","[0.16666139735043664, 0.1666613774804258, 0.1666613178704075, 0.16665849667466343, 0.1666540271910603]",5
92,"['War and Conflict', 'Missionary Work', 'Photography and Imaging', 'British Colonialism', 'Architecture and Building']","[0.16495362533888983, 0.16493467106455575, 0.16493190033226393, 0.16492345038375686, 0.16490237944275069]",5
93,"['Architecture and Building', 'Geography and Topography']","[0.49980134386363145, 0.49979413368232534]",2
94,"['Architecture and Building', 'Geography and Topography', 'Harbor and Waterways', 'Daily Life and Occupations']","[0.2519999828713399, 0.2519888688818709, 0.2517703522432896, 0.24415151794147524]",4
95,['Architecture and Building'],[0.9998826049821822],1
96,"['Social Classes and Customs', 'Transportation', 'Photography and Imaging', 'Fashion and Dress', 'Daily Life and Occupations']","[0.17309618859446635, 0.1730961060553289, 0.17309556953219163, 0.173091979436669, 0.17306361654996594]",5
97,"['Photography and Imaging', 'War and Conflict', 'Social Classes and Customs', 'Fashion and Dress', 'British Colonialism']","[0.20176117883387865, 0.20175882189001632, 0.20175379532374607, 0.20163691272559645, 0.19301172249506002]",5
98,"['Photography and Imaging', 'Social Classes and Customs', 'Fashion and Dress', 'British Colonialism']","[0.29518242591817284, 0.2951726443010741, 0.29514492193589986, 0.1050135379571684]",4
99,"['Photography and Imaging', 'Architecture and Building']","[0.5107160419501172, 0.489222473552449]",2
