num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
77,0.39553445695627715,-0.031978823,2,"(1, 1)",10,4,2
75,0.39309353482967196,-0.030030131,2,"(1, 1)",10,4,6
60,0.40768585258722506,-0.02140021,2,"(1, 1)",10,8,2
62,0.4112450696558115,-0.026586525,2,"(1, 1)",10,8,6
3,0.5609475126885247,-0.008020465,2,"(1, 1)",10,12,2
53,0.40752734660485374,-0.020355737,2,"(1, 1)",10,12,6
62,0.4064418282351916,-0.032466356,2,"(1, 1)",10,16,2
49,0.3903105491700292,-0.026657764,2,"(1, 1)",10,16,6
57,0.382428427525842,-0.027231777,2,"(1, 1)",13,4,2
47,0.40211815326796263,-0.02649306,2,"(1, 1)",13,4,6
2,0.4438696715633924,0.012935614,2,"(1, 1)",13,8,2
45,0.40903167867173246,-0.026830595,2,"(1, 1)",13,8,6
3,0.5657447554563628,0.0023361924,2,"(1, 1)",13,12,2
43,0.40856524604964384,-0.021561665,2,"(1, 1)",13,12,6
3,0.4258886721917328,-0.0018652664,2,"(1, 1)",13,16,2
37,0.3866904683785013,-0.022798443,2,"(1, 1)",13,16,6
3,0.3208510217756943,0.0009587966,2,"(1, 1)",15,4,2
36,0.40415491776383106,-0.027206209,2,"(1, 1)",15,4,6
3,0.3949564816302322,-0.0038926592,2,"(1, 1)",15,8,2
30,0.391898364344402,-0.01810297,2,"(1, 1)",15,8,6
3,0.3870212868681903,0.0033121016,2,"(1, 1)",15,12,2
30,0.3856894644239647,-0.016785663,2,"(1, 1)",15,12,6
3,0.4395664773395112,-0.0022465715,2,"(1, 1)",15,16,2
32,0.41174792905665886,-0.022268096,2,"(1, 1)",15,16,6
36,0.39606836703931453,-0.025747243,2,"(1, 1)",18,4,2
5,0.3505094314820506,-0.012505559,2,"(1, 1)",18,4,6
3,0.4124645341059356,-0.0006416002,2,"(1, 1)",18,8,2
3,0.4171654724861173,-0.0049978457,2,"(1, 1)",18,8,6
3,0.4144312782846941,0.0046644188,2,"(1, 1)",18,12,2
23,0.40203645758173145,-0.020698257,2,"(1, 1)",18,12,6
3,0.4303878862866593,0.0006507652,2,"(1, 1)",18,16,2
24,0.41814812846483945,-0.019758193,2,"(1, 1)",18,16,6
4,0.45015541258847536,-0.0075052255,2,"(1, 1)",20,4,2
21,0.3974208035942099,-0.01963594,2,"(1, 1)",20,4,6
3,0.45548732581431234,-0.0025278472,2,"(1, 1)",20,8,2
26,0.3759600569227185,-0.02241772,2,"(1, 1)",20,8,6
3,0.40284343560938457,0.005421502,2,"(1, 1)",20,12,2
27,0.39261748195555757,-0.022873236,2,"(1, 1)",20,12,6
3,0.43454013535357294,0.0014379671,2,"(1, 1)",20,16,2
23,0.40447451446090255,-0.019495025,2,"(1, 1)",20,16,6
77,0.42295384582018103,-0.031978823,2,"(1, 2)",10,4,2
75,0.42962877365703844,-0.030030131,2,"(1, 2)",10,4,6
60,0.4276138718552857,-0.02140021,2,"(1, 2)",10,8,2
62,0.4551904100482618,-0.026586525,2,"(1, 2)",10,8,6
3,0.628010669337975,-0.008020465,2,"(1, 2)",10,12,2
53,0.43768206928772585,-0.020355737,2,"(1, 2)",10,12,6
62,0.4457060258201965,-0.032466356,2,"(1, 2)",10,16,2
49,0.4344020840762373,-0.026657764,2,"(1, 2)",10,16,6
57,0.41535789607490003,-0.027231777,2,"(1, 2)",13,4,2
47,0.43334005023706124,-0.02649306,2,"(1, 2)",13,4,6
2,0.4438696715633924,0.012935614,2,"(1, 2)",13,8,2
45,0.4361868761130311,-0.026830595,2,"(1, 2)",13,8,6
3,0.4366852588923778,0.0023361924,2,"(1, 2)",13,12,2
43,0.4330610558448151,-0.021561665,2,"(1, 2)",13,12,6
3,0.4284748018403888,-0.0018652664,2,"(1, 2)",13,16,2
37,0.4091715290152894,-0.022798443,2,"(1, 2)",13,16,6
3,0.3304723848928242,0.0009587966,2,"(1, 2)",15,4,2
36,0.43284158947665763,-0.027206209,2,"(1, 2)",15,4,6
3,0.45234048648765973,-0.0038926592,2,"(1, 2)",15,8,2
30,0.41412974676643677,-0.01810297,2,"(1, 2)",15,8,6
3,0.40136370406496885,0.0033121016,2,"(1, 2)",15,12,2
30,0.4054853842056739,-0.016785663,2,"(1, 2)",15,12,6
3,0.4395664773395112,-0.0022465715,2,"(1, 2)",15,16,2
32,0.43984273674620106,-0.022268096,2,"(1, 2)",15,16,6
36,0.44350991750736807,-0.025747243,2,"(1, 2)",18,4,2
5,0.3432716545995484,-0.012505559,2,"(1, 2)",18,4,6
3,0.4176360528666832,-0.0006416002,2,"(1, 2)",18,8,2
3,0.4689355299706124,-0.0049978457,2,"(1, 2)",18,8,6
3,0.39160588729273843,0.0046644188,2,"(1, 2)",18,12,2
23,0.420914409836214,-0.020698257,2,"(1, 2)",18,12,6
3,0.4303878862866594,0.0006507652,2,"(1, 2)",18,16,2
24,0.4197482012320626,-0.019758193,2,"(1, 2)",18,16,6
4,0.4408833633262452,-0.0075052255,2,"(1, 2)",20,4,2
21,0.4290558639339831,-0.01963594,2,"(1, 2)",20,4,6
3,0.44087684986120673,-0.0025278472,2,"(1, 2)",20,8,2
26,0.3939478363866287,-0.02241772,2,"(1, 2)",20,8,6
3,0.41079958242441467,0.005421502,2,"(1, 2)",20,12,2
27,0.4064416175330854,-0.022873236,2,"(1, 2)",20,12,6
3,0.43454013535357294,0.0014379671,2,"(1, 2)",20,16,2
23,0.42242692456787206,-0.019495025,2,"(1, 2)",20,16,6
72,0.39848965785620094,-0.023891244,3,"(1, 1)",10,4,2
71,0.38453641537619343,-0.02918679,3,"(1, 1)",10,4,6
63,0.38172138717796095,-0.02856546,3,"(1, 1)",10,8,2
60,0.41114506627150044,-0.030785087,3,"(1, 1)",10,8,6
65,0.3628559132008627,-0.03233548,3,"(1, 1)",10,12,2
46,0.4121538216618795,-0.024339896,3,"(1, 1)",10,12,6
59,0.3895121567999483,-0.03250882,3,"(1, 1)",10,16,2
49,0.42900721481682397,-0.027489062,3,"(1, 1)",10,16,6
59,0.3911841518697541,-0.03077636,3,"(1, 1)",13,4,2
50,0.3809651270088512,-0.02620767,3,"(1, 1)",13,4,6
49,0.35942848921638537,-0.025418751,3,"(1, 1)",13,8,2
