,num_topics,init,coherence
0,10,random,0.520450086350064
1,10,nndsvd,0.5091227226698154
2,10,nndsvda,0.5091227226698154
3,10,nndsvdar,0.5091227226698154
4,12,random,0.5397467534176011
5,12,nndsvd,0.5122701517665801
6,12,nndsvda,0.5122701517665801
7,12,nndsvdar,0.5122701517665801
8,14,random,0.5038913470454943
9,14,nndsvd,0.49456929543689165
10,14,nndsvda,0.5094062700800392
11,14,nndsvdar,0.49456929543689165
12,16,random,0.4990342194876747
13,16,nndsvd,0.49735136473385144
14,16,nndsvda,0.49735136473385144
15,16,nndsvdar,0.49735136473385144
16,18,random,0.496765010313909
17,18,nndsvd,0.47952558439176163
18,18,nndsvda,0.47952558439176163
19,18,nndsvdar,0.47952558439176163
20,20,random,0.5049785031445977
21,20,nndsvd,0.4799995507293408
22,20,nndsvda,0.4920873777838962
23,20,nndsvdar,0.4799995507293408
24,22,random,0.49553291491707213
25,22,nndsvd,0.48134197425427766
26,22,nndsvda,0.48134197425427766
27,22,nndsvdar,0.48134197425427766
28,24,random,0.44613658840458514
29,24,nndsvd,0.4854064234831153
30,24,nndsvda,0.4900149523499036
31,24,nndsvdar,0.4854064234831153
32,26,random,0.48803006352111244
33,26,nndsvd,0.47089267366829435
34,26,nndsvda,0.4716131315356455
35,26,nndsvdar,0.47089267366829435
36,28,random,0.4638891368034698
37,28,nndsvd,0.4776557237394784
38,28,nndsvda,0.47541857900833123
39,28,nndsvdar,0.4776557237394784
