,num_topics,init,coherence
0,10,random,0.46859239871824415
1,10,nndsvd,0.5276423768026814
2,10,nndsvda,0.5276423768026814
3,10,nndsvdar,0.5276423768026814
4,12,random,0.511578635440471
5,12,nndsvd,0.5547512679103025
6,12,nndsvda,0.5547512679103025
7,12,nndsvdar,0.5547512679103025
8,14,random,0.5209771262809856
9,14,nndsvd,0.5417786377463778
10,14,nndsvda,0.5417786377463778
11,14,nndsvdar,0.5417786377463778
12,16,random,0.5401114156054925
13,16,nndsvd,0.5079431848032685
14,16,nndsvda,0.5079431848032685
15,16,nndsvdar,0.5079431848032685
16,18,random,0.5165633336001976
17,18,nndsvd,0.5263960394977114
18,18,nndsvda,0.5263960394977114
19,18,nndsvdar,0.5263960394977114
20,20,random,0.5113200393963924
21,20,nndsvd,0.523951127319004
22,20,nndsvda,0.5259450292617011
23,20,nndsvdar,0.5259450292617011
24,22,random,0.5104278962653322
25,22,nndsvd,0.506394773334272
26,22,nndsvda,0.506394773334272
27,22,nndsvdar,0.506394773334272
28,24,random,0.48935368052470407
29,24,nndsvd,0.4893704049689908
30,24,nndsvda,0.48599693728837123
31,24,nndsvdar,0.48865008639357593
32,26,random,0.4774034578850715
33,26,nndsvd,0.48032834946194963
34,26,nndsvda,0.48032834946194963
35,26,nndsvdar,0.48032834946194963
36,28,random,0.48254240137425125
37,28,nndsvd,0.48791637197048704
38,28,nndsvda,0.49551439441966594
39,28,nndsvdar,0.48791637197048704
