,min_cluster_size,n_neighbors,model,num_topics,contextual,coherence
0,5,10,doc2vec,21,False,0.44000394635982165
1,5,10,universal-sentence-encoder-large,13,False,0.2532088322000065
2,5,10,all-MiniLM-L6-v2,19,False,0.30136527736513313
3,5,10,paraphrase-multilingual-MiniLM-L12-v2,21,False,0.30148304757398503
4,5,10,all-mpnet-base-v2,210,True,0.31267953247556934
5,5,10,all-MiniLM-L6-v2,212,True,0.2758486625433304
6,5,15,doc2vec,17,False,0.43687415882702174
7,5,15,universal-sentence-encoder-large,13,False,0.26191620896691115
8,5,15,all-MiniLM-L6-v2,21,False,0.2998087510308607
9,5,15,paraphrase-multilingual-MiniLM-L12-v2,17,False,0.3443414594938956
10,5,15,all-mpnet-base-v2,199,True,0.30923828163998
11,5,15,all-MiniLM-L6-v2,194,True,0.2761596910557431
12,5,20,doc2vec,15,False,0.39143151658254677
13,5,20,universal-sentence-encoder-large,3,False,0.23267780140590122
14,5,20,all-MiniLM-L6-v2,22,False,0.29718021788716326
15,5,20,paraphrase-multilingual-MiniLM-L12-v2,9,False,0.27092642632529446
16,5,20,all-mpnet-base-v2,194,True,0.30639920468372184
17,5,20,all-MiniLM-L6-v2,178,True,0.27530615018309795
18,5,30,doc2vec,20,False,0.4222920863281893
19,5,30,universal-sentence-encoder-large,15,False,0.27098969549806495
20,5,30,all-MiniLM-L6-v2,18,False,0.28083248030195956
21,5,30,paraphrase-multilingual-MiniLM-L12-v2,16,False,0.3177037214450449
22,5,30,all-mpnet-base-v2,191,True,0.30886429865838005
23,5,30,all-MiniLM-L6-v2,150,True,0.2743646059497865
24,10,10,doc2vec,5,False,0.4479036071882308
25,10,10,universal-sentence-encoder-large,6,False,0.2748264682661257
26,10,10,all-MiniLM-L6-v2,9,False,0.3122750694352178
27,10,10,paraphrase-multilingual-MiniLM-L12-v2,2,False,0.2789182635675746
28,10,10,all-mpnet-base-v2,124,True,0.3138327502630188
29,10,10,all-MiniLM-L6-v2,112,True,0.27107964425028613
30,10,15,doc2vec,2,False,0.4659412968231506
31,10,15,universal-sentence-encoder-large,5,False,0.29270332337338295
32,10,15,all-MiniLM-L6-v2,8,False,0.3100450672939303
33,10,15,paraphrase-multilingual-MiniLM-L12-v2,8,False,0.31049030681825796
34,10,15,all-mpnet-base-v2,119,True,0.3086948790364369
35,10,15,all-MiniLM-L6-v2,93,True,0.26669648159321685
36,10,20,doc2vec,4,False,0.4462549964988537
37,10,20,universal-sentence-encoder-large,7,False,0.3025587227370556
38,10,20,all-MiniLM-L6-v2,10,False,0.2961682045308279
39,10,20,paraphrase-multilingual-MiniLM-L12-v2,7,False,0.29345949284362005
40,10,20,all-mpnet-base-v2,116,True,0.3111026074272823
41,10,20,all-MiniLM-L6-v2,89,True,0.27277033664159417
42,10,30,doc2vec,3,False,0.5369688435661046
43,10,30,universal-sentence-encoder-large,4,False,0.32276631732487754
44,10,30,all-MiniLM-L6-v2,10,False,0.30525375981708586
45,10,30,paraphrase-multilingual-MiniLM-L12-v2,8,False,0.3382202490153933
46,10,30,all-mpnet-base-v2,99,True,0.30747811899592703
47,10,30,all-MiniLM-L6-v2,73,True,0.27064721733436736
48,15,10,doc2vec,3,False,0.490447534811249
49,15,10,universal-sentence-encoder-large,5,False,0.2805375804002531
50,15,10,all-MiniLM-L6-v2,5,False,0.3123656678384107
51,15,10,paraphrase-multilingual-MiniLM-L12-v2,2,False,0.2819011432482045
52,15,10,all-mpnet-base-v2,68,True,0.30604176708448266
53,15,10,all-MiniLM-L6-v2,46,True,0.28061347410408766
54,15,15,doc2vec,2,False,0.5196192806451837
55,15,15,universal-sentence-encoder-large,3,False,0.35253972305397957
56,15,15,all-MiniLM-L6-v2,8,False,0.3208942168025769
57,15,15,paraphrase-multilingual-MiniLM-L12-v2,5,False,0.315630135801744
58,15,15,all-mpnet-base-v2,64,True,0.30969627343154976
59,15,15,all-MiniLM-L6-v2,46,True,0.27977317299168736
60,15,20,doc2vec,3,False,0.4921603314539695
61,15,20,universal-sentence-encoder-large,5,False,0.3278403546939847
62,15,20,all-MiniLM-L6-v2,3,False,0.2880025901399012
63,15,20,paraphrase-multilingual-MiniLM-L12-v2,4,False,0.3227487627773027
64,15,20,all-mpnet-base-v2,61,True,0.29915151806033047
65,15,20,all-MiniLM-L6-v2,43,True,0.2744005714587029
66,15,30,doc2vec,3,False,0.48448830248979946
67,15,30,universal-sentence-encoder-large,4,False,0.32888494943663016
68,15,30,all-MiniLM-L6-v2,3,False,0.29901499211204996
69,15,30,paraphrase-multilingual-MiniLM-L12-v2,5,False,0.354610150243289
70,15,30,all-mpnet-base-v2,46,True,0.29469903726081254
71,15,30,all-MiniLM-L6-v2,36,True,0.27993254337592915
72,20,10,doc2vec,3,False,0.49431451492008455
73,20,10,universal-sentence-encoder-large,2,False,0.33440325014037936
74,20,10,all-MiniLM-L6-v2,3,False,0.24170791891468837
75,20,10,paraphrase-multilingual-MiniLM-L12-v2,3,False,0.35076116021398923
76,20,10,all-mpnet-base-v2,46,True,0.31641945139836236
77,20,10,all-MiniLM-L6-v2,32,True,0.2805319190961324
78,20,15,doc2vec,2,False,0.4911119154555731
79,20,15,universal-sentence-encoder-large,3,False,0.36182607752612334
80,20,15,all-MiniLM-L6-v2,5,False,0.35225776631516004
81,20,15,paraphrase-multilingual-MiniLM-L12-v2,3,False,0.31841043112754047
82,20,15,all-mpnet-base-v2,45,True,0.30134071100165666
83,20,15,all-MiniLM-L6-v2,29,True,0.26861010622012355
84,20,20,doc2vec,3,False,0.47720488552234636
85,20,20,universal-sentence-encoder-large,2,False,0.40906268255219014
86,20,20,all-MiniLM-L6-v2,5,False,0.3374158631544303
87,20,20,paraphrase-multilingual-MiniLM-L12-v2,4,False,0.32971150607577254
88,20,20,all-mpnet-base-v2,43,True,0.2960004881334216
89,20,20,all-MiniLM-L6-v2,26,True,0.2850129037593282
90,20,30,doc2vec,2,False,0.49107685804954115
91,20,30,universal-sentence-encoder-large,2,False,0.416197456617879
92,20,30,all-MiniLM-L6-v2,2,False,0.31642093986109243
93,20,30,paraphrase-multilingual-MiniLM-L12-v2,5,False,0.34036071521301114
94,20,30,all-mpnet-base-v2,33,True,0.29665516480643167
95,20,30,all-MiniLM-L6-v2,22,True,0.2711634003942391
