,min_cluster_size,n_neighbors,model,num_topics,coherence
0,5,10,doc2vec,92,0.41952876807624817
1,5,10,universal-sentence-encoder-large,89,0.2720027742610589
2,5,10,all-MiniLM-L6-v2,98,0.27191978625577723
3,5,10,paraphrase-multilingual-MiniLM-L12-v2,101,0.2876420086568993
4,5,15,doc2vec,84,0.40600800596742476
5,5,15,universal-sentence-encoder-large,101,0.26921477493712287
6,5,15,all-MiniLM-L6-v2,94,0.2652184634558737
7,5,15,paraphrase-multilingual-MiniLM-L12-v2,93,0.2882133483301888
8,5,20,doc2vec,92,0.43069395800205196
9,5,20,universal-sentence-encoder-large,90,0.26727311924668157
10,5,20,all-MiniLM-L6-v2,76,0.2725513350616171
11,5,20,paraphrase-multilingual-MiniLM-L12-v2,90,0.28335161536462666
12,5,30,doc2vec,82,0.40407765745249014
13,5,30,universal-sentence-encoder-large,81,0.26975411786931536
14,5,30,all-MiniLM-L6-v2,88,0.2748162070061148
15,5,30,paraphrase-multilingual-MiniLM-L12-v2,90,0.29066627470198747
16,10,10,doc2vec,36,0.4053964199803872
17,10,10,universal-sentence-encoder-large,7,0.30787137311680823
18,10,10,all-MiniLM-L6-v2,2,0.23339815823925722
19,10,10,paraphrase-multilingual-MiniLM-L12-v2,47,0.29730731769678864
20,10,15,doc2vec,39,0.44965226213534976
21,10,15,universal-sentence-encoder-large,4,0.29588873851990394
22,10,15,all-MiniLM-L6-v2,42,0.26794144629696187
23,10,15,paraphrase-multilingual-MiniLM-L12-v2,38,0.2840331310915504
24,10,20,doc2vec,36,0.44411101663599833
25,10,20,universal-sentence-encoder-large,3,0.34753717031469056
26,10,20,all-MiniLM-L6-v2,6,0.2946005436265388
27,10,20,paraphrase-multilingual-MiniLM-L12-v2,32,0.29453008133054814
28,10,30,doc2vec,9,0.43888216047094325
29,10,30,universal-sentence-encoder-large,2,0.22476391485085262
30,10,30,all-MiniLM-L6-v2,2,0.23339815823925722
31,10,30,paraphrase-multilingual-MiniLM-L12-v2,2,0.28991733880670667
32,15,10,doc2vec,13,0.4852245464030925
33,15,10,universal-sentence-encoder-large,2,0.22107347513496312
34,15,10,all-MiniLM-L6-v2,3,0.2445875397193249
35,15,10,paraphrase-multilingual-MiniLM-L12-v2,3,0.25380596372209113
36,15,15,doc2vec,19,0.43613649922074893
37,15,15,universal-sentence-encoder-large,4,0.29295435497001454
38,15,15,all-MiniLM-L6-v2,2,0.24557550115947197
39,15,15,paraphrase-multilingual-MiniLM-L12-v2,12,0.2879803440924805
40,15,20,doc2vec,18,0.44513181347096975
41,15,20,universal-sentence-encoder-large,6,0.2860096399261185
42,15,20,all-MiniLM-L6-v2,2,0.24617904323649806
43,15,20,paraphrase-multilingual-MiniLM-L12-v2,15,0.2837791559563809
44,15,30,doc2vec,2,0.3971305582096949
45,15,30,universal-sentence-encoder-large,5,0.29491663820124037
46,15,30,all-MiniLM-L6-v2,2,0.24478039703302268
47,15,30,paraphrase-multilingual-MiniLM-L12-v2,2,0.28991733880670667
48,20,10,doc2vec,2,0.38113372101006326
49,20,10,universal-sentence-encoder-large,3,0.3376953806183165
50,20,10,all-MiniLM-L6-v2,2,0.23339815823925725
51,20,10,paraphrase-multilingual-MiniLM-L12-v2,2,0.2899173388067067
52,20,15,doc2vec,8,0.4435516028361732
53,20,15,universal-sentence-encoder-large,2,0.3636064273466504
54,20,15,all-MiniLM-L6-v2,2,0.24557550115947197
55,20,15,paraphrase-multilingual-MiniLM-L12-v2,13,0.29258973651478404
56,20,20,doc2vec,2,0.3987360832525123
57,20,20,universal-sentence-encoder-large,4,0.30068448712088885
58,20,20,all-MiniLM-L6-v2,2,0.2914316437101119
59,20,20,paraphrase-multilingual-MiniLM-L12-v2,12,0.2798957187795295
60,20,30,doc2vec,2,0.38720291252361627
61,20,30,universal-sentence-encoder-large,2,0.3714471999541051
62,20,30,all-MiniLM-L6-v2,3,0.3857227927606653
63,20,30,paraphrase-multilingual-MiniLM-L12-v2,2,0.28991733880670667
