index,text,chapter,offensive
0,"We are on the upper deck of one of the many steamers that ride at anchor in the beautiful harbor of Hongkong, and there we see before us in the distance, at the base of that dark, green mountain side, the city of Victoria, generally called Hongkong, after the island on which it is situated.",1,0
1,"We are looking southwest and the mainland lies on our right, distant only a mile or two, and which we shall soon see from the slope of the mountain in front of us.",1,0
2,"A little to the left of the highest point of that somber elevation floats the English flag, that grand old symbol of our fatherland, on which, you know, the sun never sets.",1,1
3,"To our left, the city skirts the base of the rugged mountain for several miles; and should we follow the winding and irregular coast line and complete a circuit of the island, it would require a journey of over thirty miles; and should we ascend that dark green slope by cable tramway or by winding shady path, a climb of two thousand feet would be rewarded by a panorama scarcely surpassed in the whole world.",1,0
4,The summit of that mountain island is a maze of peaks and dells dotted everywhere with cozy villas of the wealthy who find there a cool and healthful retreat from the languishing summer heat of the city below.,1,0
5,"Then by reference to the maps we can see that the great mass of China lies off to our right, stretching away for over two thousand miles.",1,0
6,"Directly before us, six hundred miles distant, is French or Indo-China, and further in that direction is Siam and the Malay Peninsula, Singapore being nearly fifteen hundred miles away.",1,0
7,"Luzon, the northernmost of the Philippine Islands, lies over six hundred miles sharply to our left.",1,0
8,"Back of us is Formosa, about four hundred miles away, while Tokio, Japan, is one thousand miles beyond Formosa.",1,0
9,San Francisco is nearly six thousand miles distant behind us and over our left shoulder.,1,0
10,"Now, with a clearer sense of our location in this part of the earth, we will give further attention to this place immediately before us.",1,0
11,"Hongkong is a British crown colony and was a ""voluntary"" cession from China made sixty years ago, in settlement of trade difficulties between the two countries which had extended over a period of two hundred years.",1,1
12,"It is now the most important entrepot of the far East, with a native population of two hundred and fifty thousand and about twelve thousand Europeans.",1,0
13,"That water front, which you see, is lined with commodious modern office buildings, granite quays and landing stages, around which queer native boats called sampans, manned by native women, ply their trade of carrying passengers from point to point.",1,0
14,"It is Mount Davis, nearly nine hundred feet high, and around its base is a Chinese cemetery.",1,0
15,"Between Mount Davis and the sea, on a gentle slope facing the northeast, thousands of little mounds, designated by simple board tablets, indicate the burial place of the victims of the bubonic plague which has prevailed for many years in this city.",1,0
16,Neither the friends of the victims buried there nor leisure strollers are ever seen near the silent hillside; there even the dead menace the lives of the living.,1,0
