,Agriculture and Farming,Architecture and Building,British Colonialism,Cemeteries and Burial Practices,Daily Life and Occupations,Education,Family and Social Structures,Fashion and Dress,Folk Festivals and Celebrations,Food and Diet,Gambling and Opium,Geography and Topography,Harbor and Waterways,Military and Naval Defenses,Missionary Work,Photography and Imaging,Plague and Disease,Prisoners and Punishment,Religion (Buddhism and Ancestor Worship),River Dwellers (Tankia),Social Classes and Customs,Tea Production and Trade,Trade and Commerce,Transportation,War and Conflict
0,1000.0,1000.0,999.9997671187448,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999996423941,-3.0396270176424878e-06,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999991655466,1000.0,-7.630325853824615e-06
1,1000.0,1000.0,999.9998898110134,1000.0,999.9999985099658,1000.0,999.2490664720535,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9937457693741,1000.0,1000.0,1000.0,1000.0,999.9998053799354,1000.0,999.9999999403881,1000.0,999.999999821197
2,1000.0,999.9999997615523,999.9965358586051,1000.0,999.9999982714552,1000.0,999.9999997615523,1000.0,1000.0,1000.0,1000.0,999.999337064859,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9994283284759,1000.0,999.999999701987,-0.00029006291879341006,999.9999996423941
3,1000.0,-5.961192073300481e-08,1000.0,1000.0,999.9999998807762,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,999.9999996423941,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.999999701987,1000.0,1000.0,1000.0,1000.0
4,1000.0,1000.0,999.9999995231046,1000.0,999.9999979137501,1000.0,999.9999990462093,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-0.0006526369834318757,1000.0,1000.0,1000.0,1000.0
5,1000.0,1000.0,999.999875196052,1000.0,999.9999871260998,1000.0,999.9999991655466,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,-1.4304238220574916e-06,1000.0,999.9999995231046,1000.0,1000.0,999.9999994039741,1000.0,1000.0,1000.0,999.9999988675239
6,1000.0,1000.0,1000.0,1000.0,999.9999964833819,1000.0,999.9999999403881,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-3.8747148209949955e-06,1000.0,999.9999998807762,1000.0,1000.0
7,1000.0,1000.0,999.9999980328657,1000.0,-0.0003662380331661552,1000.0,999.9999986291796,1000.0,1000.0,-0.0006630541756749153,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-0.03291931748390198,1000.0,1000.0,1000.0,1000.0
8,1000.0,1000.0,999.9999997615523,1000.0,999.9999580415606,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,999.9999991059051,1000.0,1000.0,999.9999998807762,1000.0,1000.0,1000.0,1000.0
9,1000.0,1000.0,1000.0,1000.0,999.9997657477943,999.999899706243,999.9999998807762,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-5.1255919970571995e-05,-1.0966439731419086e-05,1000.0,999.9999995827733,1000.0,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0
10,1000.0,1000.0,1000.0,1000.0,999.9999218732264,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,1000.0,1000.0,-1.25163433040143e-06,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
11,1000.0,999.9999999403881,1000.0,1000.0,999.9999932052974,999.999999701987,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999986887761,1000.0,1000.0,1000.0,-5.961192073300481e-08,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12,1000.0,1000.0,-0.0027855862863361835,1000.0,999.9999218732264,1000.0,999.9999999403881,1000.0,1000.0,-0.00026600301498547196,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,999.9968448576983,999.9999986291796,999.9999975563283,999.410100877285,1000.0
13,1000.0,1000.0,-0.0002760675852186978,1000.0,999.999826829473,1000.0,999.9999945167801,999.9999999403881,1000.0,-3.6358189390739426e-05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9221684634686,999.9999962448107,999.9999989270926,1000.0,1000.0
14,1000.0,1000.0,1000.0,1000.0,999.9999924299718,1000.0,999.999999701987,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-0.00037797176628373563,1000.0,1000.0,1000.0,1000.0,999.9999972583901,1000.0,1000.0,1000.0,1000.0
15,1000.0,1000.0,999.9998212291393,1000.0,999.9999937419052,1000.0,999.9999957083755,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999995827733,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999181199091,1000.0,1000.0,1000.0,1000.0
16,1000.0,1000.0,999.9999995231046,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-0.00032841748907230794,1000.0,1000.0,1000.0,-0.00018431188073009253,1000.0,1000.0,999.999999821197,1000.0,999.9999994039741,1000.0,-7.693530642427504e-05
17,1000.0,1000.0,999.9999883779628,1000.0,999.9981998585863,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.999999821197,1000.0,999.9999999403881
18,1000.0,1000.0,-0.000705672602634877,1000.0,999.9999999403881,1000.0,999.9999992251743,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999277111056,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.999999821197,1000.0,1000.0,1000.0,-1.1922384146600962e-07
19,1000.0,1000.0,999.9978293117601,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,999.999999821197,1000.0,-5.721614343201509e-06
